"","V1","Halmenus cuspidatus","Lepidanthrax tinctus","Phoebis sennae","Unidentified sp1 M_PL_042","Unidentified sp2 M_PL_042","Xylocopa darwini"
"1","Chiococa alba",1,1,0,0,0,1
"2","Cordia lutea",0,0,0,0,0,1
"3","Cordia revoluta",0,0,0,0,0,1
"4","Darwiniothamnus tenuifolius",1,1,0,0,0,1
"5","Jasminoserius thouarsii",0,0,0,0,0,1
"6","Lippia rosmarinifolia",0,0,0,0,0,1
"7","Opuntia echios",1,1,0,0,0,1
"8","Passiflora foetida",0,0,0,0,0,1
"9","Pectis tenuifolia",0,1,0,1,1,1
"10","Plumbago scandens",0,0,1,0,0,0
"11","Scalesia affinis",1,1,0,0,0,1
"12","Waltheria ovata",1,1,0,0,0,1
